Id,Label,value,source,Authority,Hub,pageranks,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum
1,100monkeystyping.com,0,Blogarama,0.010661,0.029448,0.000342,12,15,27,6,0.310714,0.339586,104.157278,0,163
2,12thharmonic.com/wordpress,0,BlogCatalog,0.002686,0.059421,0.000341,5,43,48,6,0.328527,0.375374,1690.436495,0,163
3,40ozblog.blogspot.com,0,"Blogarama,BlogCatalog",0,0,0.000187,0,0,0,0,0,0,0,1,164
4,4lina.tblog.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,2,165
5,750volts.blogspot.com,0,Blogarama,0.00023,0.003217,0.000252,1,3,4,8,0.2552,0.273428,1031.555753,0,163
6,95theses.blogspot.com,0,Blogarama,0,0.000219,0.000187,0,1,1,8,0.260397,0.274283,0,0,166
7,abbadabbaduo.blogspot.com,0,"Blogarama,LeftyDirectory",0.002031,0,0.000197,1,0,1,0,0,0,0,0,123
8,aboutpolitics.blogspot.com,0,"Blogarama,eTalkingHead",0.022706,0.016933,0.000417,19,19,38,6,0.320818,0.357436,2715.311321,0,163
9,achingandspinning.blogspot.com,0,Blogarama,0,0.018146,0.000187,0,8,8,6,0.282763,0.307585,0,0,167
10,ackackack.com,0,BlogCatalog,0.001258,0.027395,0.0002,1,14,15,7,0.304099,0.33505,1.607254,0,163
11,adamtalib.blogspot.com,0,Blogarama,0,0.000616,0.000187,0,1,1,8,0.23974,0.254746,0,0,168
12,adviceforlefty.blogspot.com,0,"Blogarama,BlogCatalog,CampaignLine",0.000076,0.005143,0.000197,1,3,4,7,0.241423,0.260123,1.337463,0,163
13,agonist.org,0,LeftyDirectory,0.055718,0.034174,0.00188,48,15,63,6,0.300282,0.333438,1950.175874,0,163
14,aintnobaddude.com,0,"LeftyDirectory,CampaignLine",0.042939,0.100758,0.001415,27,62,89,6,0.381275,0.429502,11110.188668,0,163
15,ajbenjaminjr.blogspot.com,0,LabeledManually,0.015144,0.061207,0.000347,16,54,70,6,0.317518,0.370881,1415.873742,0,163
16,alicublog.blogspot.com,0,LeftyDirectory,0.041529,0.041256,0.000976,29,25,54,6,0.345114,0.377638,2431.328148,0,163
17,allanjenkins.typepad.com,0,BlogCatalog,0.000076,0.001589,0.000197,1,1,2,8,0.23913,0.252094,2.568588,0,163
18,allspinzone.blogspot.com,0,Blogarama,0.026699,0.045491,0.000746,19,29,48,6,0.354051,0.387565,2288.18065,0,163
19,alphapredator.com/wdtgw.htm,0,Blogarama,0.002126,0.002169,0.000205,1,3,4,7,0.272417,0.294099,18.687904,0,163
20,alternateworlds.blogspot.com,0,Blogarama,0,0.026069,0.000187,0,13,13,6,0.306658,0.335786,0,0,169
21,althippo.blogspot.com,0,Blogarama,0.015031,0.05716,0.000459,10,38,48,6,0.347116,0.39063,3250.390338,0,163
22,alvintostig.typepad.com,0,eTalkingHead,0.011839,0.028645,0.000362,7,19,26,6,0.339964,0.368774,1365.033926,0,163
23,americablog.blogspot.com,0,LabeledManually,0.06271,0.041428,0.003344,68,29,97,6,0.306142,0.342598,8173.287999,0,163
24,americablog.org,0,"eTalkingHead,CampaignLine",0.035482,0.0384,0.001032,34,24,58,6,0.295462,0.329711,866.877283,0,163
25,americandreamslost.blogspot.com,0,Blogarama,0,0,0.000187,0,0,0,0,0,0,0,3,170
26,americanmuslim.blogs.com,0,Blogarama,0,0.00404,0.000187,0,1,1,7,0.240825,0.258174,0,0,171
27,americanpolitics.com,0,CampaignLine,0.025002,0.024401,0.002952,22,13,35,6,0.325289,0.356513,4113.23811,0,163
28,americansforbayh.blogspot.com,0,"Blogarama,CampaignLine",0.000754,0.0146,0.000209,2,10,12,7,0.271489,0.294551,16.802854,0,163
29,amleft.blogspot.com,0,"LeftyDirectory,LabeledManually",0.024471,0.046984,0.000795,24,39,63,6,0.31605,0.361459,5637.005033,0,163
30,amliberal.com/blog,0,"Blogarama,BlogCatalog,eTalkingHead",0.000076,0,0.000197,1,0,1,0,0,0,0,0,89
